"filename", "language", "JSON", "XML", "C#", "XAML", "comment", "blank", "total"
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\AssemblyMarker.cs", "C#", 0, 0, 4, 0, 0, 2, 6
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\ChangeEmployeeTypeCommand.cs", "C#", 0, 0, 69, 0, 0, 13, 82
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\ChangeEmployeeTypeRequest.cs", "C#", 0, 0, 4, 0, 0, 2, 6
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\CreateEmployeeCommand.cs", "C#", 0, 0, 51, 0, 0, 10, 61
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\CreateEmployeeRequest.cs", "C#", 0, 0, 5, 0, 0, 2, 7
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\DeactivateEmployeeCommand.cs", "C#", 0, 0, 54, 0, 0, 11, 65
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\DeactivateEmployeeRequest.cs", "C#", 0, 0, 2, 0, 0, 2, 4
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\DeleteEmployeeCommand.cs", "C#", 0, 0, 58, 0, 0, 12, 70
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\DeleteEmployeeRequest.cs", "C#", 0, 0, 2, 0, 0, 2, 4
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeCommandErrors.cs", "C#", 0, 0, 108, 0, 0, 10, 118
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeCommandResult.cs", "C#", 0, 0, 64, 0, 0, 11, 75
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeDeleteStoreResult.cs", "C#", 0, 0, 7, 0, 0, 2, 9
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeDetailsSnapshot.cs", "C#", 0, 0, 8, 0, 0, 2, 10
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeOverviewItemSnapshot.cs", "C#", 0, 0, 12, 0, 0, 2, 14
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeOverviewSnapshot.cs", "C#", 0, 0, 10, 0, 0, 4, 14
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeReadData.cs", "C#", 0, 0, 22, 0, 0, 7, 29
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeSnapshotProjector.cs", "C#", 0, 0, 138, 0, 0, 18, 156
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeTypeCatalogSnapshot.cs", "C#", 0, 0, 10, 0, 0, 4, 14
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeTypeEligibilitySnapshot.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeTypeReferenceValidation.cs", "C#", 0, 0, 54, 0, 0, 7, 61
