Date : 2026-09-14 04:22:52
Directory : c:\Users\zsolt\source\Salztal_Service_Wochenplan\src
Total : 179 files,  10036 codes, 11 comments, 1599 blanks, all 11646 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        164 |      8,279 |         11 |      1,533 |      9,823 |
| XAML     |          3 |        998 |          0 |         60 |      1,058 |
| JSON     |          6 |        710 |          0 |          0 |        710 |
| XML      |          6 |         49 |          0 |          6 |         55 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                       |        179 |     10,036 |         11 |      1,599 |     11,646 |
| Salztal.Dienstplanung.Application                                                                                                                                                       |         56 |      1,549 |          0 |        312 |      1,861 |
| Salztal.Dienstplanung.Application (Files)                                                                                                                                               |          3 |         19 |          0 |          3 |         22 |
| Salztal.Dienstplanung.Application\Employees                                                                                                                                             |         35 |        971 |          0 |        200 |      1,171 |
| Salztal.Dienstplanung.Application\ServiceCatalog                                                                                                                                        |         18 |        559 |          0 |        109 |        668 |
| Salztal.Dienstplanung.Desktop                                                                                                                                                           |         27 |      2,973 |          0 |        338 |      3,311 |
| Salztal.Dienstplanung.Desktop (Files)                                                                                                                                                   |          8 |        862 |          0 |         50 |        912 |
| Salztal.Dienstplanung.Desktop\Composition                                                                                                                                               |          3 |         94 |          0 |         12 |        106 |
| Salztal.Dienstplanung.Desktop\Features                                                                                                                                                  |         14 |      1,998 |          0 |        270 |      2,268 |
| Salztal.Dienstplanung.Desktop\Features\Employees                                                                                                                                        |          7 |      1,322 |          0 |        163 |      1,485 |
| Salztal.Dienstplanung.Desktop\Features\ServiceCatalog                                                                                                                                   |          7 |        676 |          0 |        107 |        783 |
| Salztal.Dienstplanung.Desktop\Shared                                                                                                                                                    |          2 |         19 |          0 |          6 |         25 |
| Salztal.Dienstplanung.Domain                                                                                                                                                            |         62 |      1,823 |          0 |        433 |      2,256 |
| Salztal.Dienstplanung.Domain (Files)                                                                                                                                                    |          3 |         11 |          0 |          3 |         14 |
| Salztal.Dienstplanung.Domain\Employees                                                                                                                                                  |         26 |        871 |          0 |        191 |      1,062 |
| Salztal.Dienstplanung.Domain\ShiftPatterns                                                                                                                                              |         12 |        377 |          0 |         95 |        472 |
| Salztal.Dienstplanung.Domain\ShiftTypes                                                                                                                                                 |         13 |        372 |          0 |         90 |        462 |
| Salztal.Dienstplanung.Domain\WorkLocations                                                                                                                                              |          8 |        192 |          0 |         54 |        246 |
| Salztal.Dienstplanung.Excel                                                                                                                                                             |          3 |         25 |          0 |          3 |         28 |
| Salztal.Dienstplanung.Infrastructure                                                                                                                                                    |         28 |      3,593 |         11 |        510 |      4,114 |
| Salztal.Dienstplanung.Infrastructure (Files)                                                                                                                                            |          4 |        375 |          0 |          5 |        380 |
| Salztal.Dienstplanung.Infrastructure\Persistence                                                                                                                                        |         24 |      3,218 |         11 |        505 |      3,734 |
| Salztal.Dienstplanung.Infrastructure\Persistence (Files)                                                                                                                                |          1 |          8 |          0 |          3 |         11 |
| Salztal.Dienstplanung.Infrastructure\Persistence\Employees                                                                                                                              |          7 |        629 |          0 |        106 |        735 |
| Salztal.Dienstplanung.Infrastructure\Persistence\ServiceCatalog                                                                                                                         |         16 |      2,581 |         11 |        396 |      2,988 |
| Salztal.Dienstplanung.Infrastructure\Persistence\ServiceCatalog (Files)                                                                                                                 |         11 |        558 |          0 |        130 |        688 |
| Salztal.Dienstplanung.Infrastructure\Persistence\ServiceCatalog\Migrations                                                                                                              |          5 |      2,023 |         11 |        266 |      2,300 |
| Salztal.Dienstplanung.Planning                                                                                                                                                          |          3 |         73 |          0 |          3 |         76 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                                                | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\AssemblyMarker.cs                                                                                | C#       |          4 |          0 |          2 |          6 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\ChangeEmployeeTypeCommand.cs                                                           | C#       |         69 |          0 |         13 |         82 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\ChangeEmployeeTypeRequest.cs                                                           | C#       |          4 |          0 |          2 |          6 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\CreateEmployeeCommand.cs                                                               | C#       |         51 |          0 |         10 |         61 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\CreateEmployeeRequest.cs                                                               | C#       |          5 |          0 |          2 |          7 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\DeactivateEmployeeCommand.cs                                                           | C#       |         54 |          0 |         11 |         65 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\DeactivateEmployeeRequest.cs                                                           | C#       |          2 |          0 |          2 |          4 |
